tares,6.2
lares,6.15
rales,6.12
rates,6.1
teras,6.08
nares,6.07
soare,6.06
tales,6.06
reais,6.05
arles,6.03
tears,6.03
salet,6.02
tores,6.02
aeros,6.01
dares,6.01
reals,6.0
saner,6.0
lears,5.99
lores,5.98
cares,5.97
laers,5.97
lanes,5.97
pares,5.97
serai,5.97
saine,5.96
seral,5.96
tires,5.96
aloes,5.95
mares,5.95
reans,5.95
roles,5.94
sared,5.94
teals,5.94
aures,5.93
earls,5.93
raise,5.92
rotes,5.92
sorel,5.92
taels,5.92
tries,5.92
leats,5.91
nears,5.91
toeas,5.91
nates,5.9
rones,5.9
strae,5.9
earns,5.89
arets,5.88
dales,5.88
hares,5.88
riles,5.88
taros,5.88
taser,5.88
toles,5.88
toras,5.88
dears,5.87
slate,5.87
soler,5.87
bares,5.86
gares,5.86
laris,5.86
races,5.86
raits,5.86
rapes,5.86
rites,5.86
leans,5.85
aeons,5.84
dores,5.84
rails,5.84
snare,5.84
stare,5.84
dates,5.83
laser,5.83
pales,5.83
rines,5.83
siren,5.83
tones,5.83
lades,5.82
lairs,5.82
leirs,5.82
lotes,5.82
males,5.82
neats,5.82
orles,5.82
reads,5.82
tiles,5.82
neals,5.81
pears,5.81
saute,5.8
setal,5.8
siler,5.8
slane,5.8
tiars,5.8
airts,5.79
cores,5.79
liras,5.79
pores,5.79
ratos,5.79
roues,5.79
solei,5.79
arise,5.78
cates,5.78
deals,5.78
mores,5.78
pates,5.78
rains,5.78
ranis,5.78
reast,5.78
resat,5.78
rotas,5.78
salue,5.78
slier,5.78
taces,5.78
tames,5.78
aides,5.77
antes,5.77
apres,5.77
canes,5.77
lames,5.77
mates,5.77
naris,5.77
panes,5.77
rages,5.77
rials,5.77
roans,5.77
sarge,5.77
sated,5.77
sored,5.77
stoae,5.77
tails,5.77
tapes,5.77
tarns,5.77
tiers,5.77
tines,5.77
aesir,5.76
arose,5.76
ayres,5.76
braes,5.76
laces,5.76
lites,5.76
manes,5.76
noles,5.76
reins,5.76
saice,5.76
saned,5.76
sarin,5.76
sorta,5.76
teils,5.76
acres,5.75
daris,5.75
eards,5.75
liars,5.75
reams,5.75
reaps,5.75
renos,5.75
stale,5.75
terns,5.75
aunes,5.74
claes,5.74
dries,5.74
eorls,5.74
hales,5.74
raile,5.74
riels,5.74
sayer,5.74
serin,5.74
solar,5.74
soral,5.74
telos,5.74
torse,5.74
bales,5.73
cires,5.73
gales,5.73
liers,5.73
lines,5.73
rodes,5.73
roset,5.73
seron,5.73
teads,5.73
tolas,5.73
yales,5.73
airns,5.72
aisle,5.72
deans,5.72
deros,5.72
hears,5.72
kaies,5.72
leads,5.72
mires,5.72
notes,5.72
peals,5.72
rakes,5.72
roate,5.72
salep,5.72
serac,5.72
stear,5.72
arils,5.71
doles,5.71
earst,5.71
larns,5.71
meals,5.71
pelas,5.71
rants,5.71
samel,5.71
sired,5.71
sonar,5.71
tains,5.71
artis,5.7
bears,5.7
carse,5.7
gears,5.7
lures,5.7
melas,5.7
parse,5.7
peats,5.7
rased,5.7
sabre,5.7
sager,5.7
saree,5.7
scrae,5.7
senor,5.7
silen,5.7
wares,5.7
bores,5.69
cries,5.69
fares,5.69
gores,5.69
hates,5.69
marse,5.69
meats,5.69
pries,5.69
raine,5.69
sitar,5.69
stane,5.69
teins,5.69
trues,5.69
years,5.69
yores,5.69
bates,5.68
gates,5.68
kales,5.68
least,5.68
nerts,5.68
ropes,5.68
saber,5.68
sarod,5.68
snore,5.68
store,5.68
tabes,5.68
ureas,5.68
yates,5.68
banes,5.67
darts,5.67
lotas,5.67
names,5.67
orals,5.67
paris,5.67
raids,5.67
rents,5.67
rides,5.67
rules,5.67
satem,5.67
spaer,5.67
taler,5.67
almes,5.66
amies,5.66
coles,5.66
doers,5.66
lenis,5.66
loans,5.66
loser,5.66
nites,5.66
poles,5.66
saint,5.66
samen,5.66
slade,5.66
stire,5.66
teams,5.66
ceros,5.65
dotes,5.65
hires,5.65
leams,5.65
leaps,5.65
lenos,5.65
loris,5.65
meris,5.65
moles,5.65
nails,5.65
napes,5.65
peans,5.65
peris,5.65
roads,5.65
soled,5.65
spare,5.65
tepas,5.65
tians,5.65
tiros,5.65
kores,5.64
lodes,5.64
maser,5.64
means,5.64
pairs,5.64
reaks,5.64
saker,5.64
salto,5.64
scare,5.64
share,5.64
tinas,5.64
toise,5.64
trans,5.64
blaes,5.63
elans,5.63
heals,5.63
kanes,5.63
litas,5.63
mairs,5.63
moras,5.63
rimes,5.63
riots,5.63
roils,5.63
takes,5.63
tased,5.63
